"Positionsinhaber","Emittent","ISIN","Position","Datum"
"Bridgewater Associates, LP","Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München","DE0008430026","0,88","2018-02-06"
"Rye Bay Capital LLP","Nordex SE","DE000A0D6554","0,56","2018-02-06"
"Highbridge Capital Management, LLC","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,13","2018-02-06"
"Tower House Partners LLP","Gerresheimer Group GmbH","DE000A0LD6E6","1,05","2018-02-06"
"Ennismore Fund Management Limited","RIB Software SE","DE000A0Z2XN6","1,63","2018-02-06"
"Oxford Asset Management","Singulus Technologies Aktiengesellschaft","DE000A1681X5","0,60","2018-02-06"
"Bridgewater Associates, LP","adidas AG","DE000A1EWWW0","0,78","2018-02-06"
"ENA Investment Capital LLP","HUGO BOSS AG","DE000A1PHFF7","1,53","2018-02-06"
"GSA Capital Partners LLP","Medigene AG","DE000A1X3W00","0,68","2018-02-06"
"Oxford Asset Management","Medigene AG","DE000A1X3W00","0,83","2018-02-06"
"Bridgewater Associates, LP","BASF SE","DE000BASF111","0,89","2018-02-06"
"Bridgewater Associates, LP","Bayer Aktiengesellschaft","DE000BAY0017","0,89","2018-02-06"
"Citadel Europe LLP","METRO AG","DE000BFB0019","0,59","2018-02-06"
"Bridgewater Associates, LP","E.ON SE","DE000ENAG999","0,89","2018-02-06"
"Two Creeks Capital Management, LP","K+S Aktiengesellschaft","DE000KSAG888","1,61","2018-02-06"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","1,38","2018-02-06"
"PDT Partners, LLC","IMPINJ, Inc.","US4532041096","1,29","2018-02-06"
"PDT Partners, LLC","Restoration Hardware Holdings, Inc.","US74967X1037","1,18","2018-02-06"
"AQR Capital Management, LLC","ADVA Optical Networking SE","DE0005103006","0,61","2018-02-05"
"Bridgewater Associates, LP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,70","2018-02-05"
"WorldQuant, LLC","CANCOM SE","DE0005419105","0,49","2018-02-05"
"Bridgewater Associates, LP","Deutsche Post AG","DE0005552004","0,60","2018-02-05"
"AQR Capital Management, LLC","Bilfinger SE","DE0005909006","1,78","2018-02-05"
"Highbridge Capital Management, LLC","Capital Stage AG","DE0006095003","0,98","2018-02-05"
"Capital Fund Management SA","GEA Group Aktiengesellschaft","DE0006602006","0,90","2018-02-05"
"AQR Capital Management, LLC","Sartorius Aktiengesellschaft","DE0007165607","0,79","2018-02-05"
"WorldQuant, LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,81","2018-02-05"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","1,58","2018-02-05"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","2,22","2018-02-05"
"Marshall Wace LLP","Zalando SE","DE000ZAL1111","1,40","2018-02-05"
"Marshall Wace LLP","Grand City Properties SA","LU0775917882","0,51","2018-02-05"
"Millennium International Management LP","QIAGEN Deutschland Holding GmbH","NL0012169213","0,47","2018-02-05"
"PDT Partners, LLC","Cleveland-Cliffs, Inc.","US1858991011","0,92","2018-02-05"
"PDT Partners, LLC","IMPINJ, Inc.","US4532041096","1,32","2018-02-05"
"PDT Partners, LLC","Restoration Hardware Holdings, Inc.","US74967X1037","1,20","2018-02-05"
"Schroder Investment Management Limited","Bilfinger SE","DE0005909006","0,60","2018-02-02"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,77","2018-02-02"
"Bridgewater Associates, LP","Daimler AG","DE0007100000","0,70","2018-02-02"
"Otus Capital Management Limited","Gerresheimer AG","DE000A0LD6E6","0,63","2018-02-02"
"GLG Partners LP","freenet AG","DE000A0Z2ZZ5","1,11","2018-02-02"
"Adage Capital Management L.P.","HUGO BOSS AG","DE000A1PHFF7","0,28","2018-02-02"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,30","2018-02-02"
"Two Creeks Capital Management, LP","K+S Aktiengesellschaft","DE000KSAG888","1,59","2018-02-02"
"PDT Partners, LLC","IMPINJ, Inc.","US4532041096","1,43","2018-02-02"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,66","2018-02-01"
"WorldQuant, LLC","CANCOM SE","DE0005419105","0,50","2018-02-01"
"Bridgewater Associates, LP","Deutsche Telekom AG","DE0005557508","0,50","2018-02-01"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,09","2018-02-01"
"Schroder Investment Management Limited","Bilfinger SE","DE0005909006","0,50","2018-02-01"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,84","2018-02-01"
"Marshall Wace LLP","GEA Group Aktiengesellschaft","DE0006602006","0,91","2018-02-01"
"Bridgewater Associates, LP","SAP SE","DE0007164600","0,60","2018-02-01"
"Marshall Wace LLP","Nordex SE","DE000A0D6554","1,66","2018-02-01"
"Rye Bay Capital LLP","Nordex SE","DE000A0D6554","0,64","2018-02-01"
"GLG Partners LP","freenet AG","DE000A0Z2ZZ5","1,09","2018-02-01"
"BlackRock Investment Management (UK) Limited","Software Aktiengesellschaft","DE000A2GS401","1,00","2018-02-01"
"WorldQuant, LLC","K+S Aktiengesellschaft","DE000KSAG888","1,02","2018-02-01"
"Millennium International Management LP","QIAGEN Deutschland Holding GmbH","NL0012169213","0,55","2018-02-01"
"PDT Partners, LLC","Cleveland-Cliffs, Inc.","US1858991011","0,85","2018-02-01"
"PDT Partners, LLC","The Trade Desk, Inc.","US88339J1051","1,14","2018-02-01"
"Bridgewater Associates, LP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,63","2018-01-31"
"Marshall Wace LLP","CANCOM SE","DE0005419105","0,67","2018-01-31"
"WorldQuant, LLC","LANXESS Aktiengesellschaft","DE0005470405","0,48","2018-01-31"
"Bridgewater Associates, LP","Deutsche Post AG","DE0005552004","0,54","2018-01-31"
"Marshall Wace LLP","Evotec AG","DE0005664809","0,94","2018-01-31"
"Bridgewater Associates, LP","Fresenius SE & Co. KGaA","DE0005785604","0,51","2018-01-31"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,53","2018-01-31"
"Millennium International Management LP","Salzgitter Aktiengesellschaft","DE0006202005","1,22","2018-01-31"
"AQR Capital Management, LLC","GEA Group Aktiengesellschaft","DE0006602006","1,69","2018-01-31"
"AHL Partners LLP","MorphoSys AG","DE0006632003","0,70","2018-01-31"
"Bridgewater Associates, LP","Siemens Aktiengesellschaft","DE0007236101","0,70","2018-01-31"
"Marshall Wace LLP","Südzucker AG","DE0007297004","0,72","2018-01-31"
"WorldQuant, LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,72","2018-01-31"
"Bridgewater Associates, LP","Allianz SE","DE0008404005","0,71","2018-01-31"
"Bridgewater Associates, LP","Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München","DE0008430026","0,70","2018-01-31"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","0,87","2018-01-31"
"BNP PARIBAS SA","alstria office REIT-AG","DE000A0LD2U1","1,59","2018-01-31"
"Polygon Global Partners LLP","alstria office REIT-AG","DE000A0LD2U1","1,23","2018-01-31"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","2,12","2018-01-31"
"Bridgewater Associates, LP","adidas AG","DE000A1EWWW0","0,61","2018-01-31"
"Bridgewater Associates, LP","BASF SE","DE000BASF111","0,70","2018-01-31"
"Bridgewater Associates, LP","Bayer Aktiengesellschaft","DE000BAY0017","0,70","2018-01-31"
"Bridgewater Associates, LP","E.ON SE","DE000ENAG999","0,70","2018-01-31"
"Two Creeks Capital Management, LP","K+S Aktiengesellschaft","DE000KSAG888","1,70","2018-01-31"
"WorldQuant, LLC","K+S Aktiengesellschaft","DE000KSAG888","0,98","2018-01-31"
"HBK Investments L.P.","American Outdoor Brands Corporation","US02874P1030","0,81","2018-01-31"
"PDT Partners, LLC","The Meet Group, Inc.","US58513U1016","0,58","2018-01-31"
"PDT Partners, LLC","Restoration Hardware Holdings, Inc","US74967X1037","1,13","2018-01-31"
"Davidson Kempner Asia Limited","Sigma Healthcare Ltd","AU000000SIG5","0,60","2018-01-30"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,52","2018-01-30"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,17","2018-01-30"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","0,59","2018-01-30"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,47","2018-01-30"
"EXANE ASSET MANAGEMENT","Salzgitter Aktiengesellschaft","DE0006202005","0,43","2018-01-30"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","0,96","2018-01-30"
"Millennium International Management LP","Aurubis AG","DE0006766504","0,70","2018-01-30"
"Bridgewater Associates, LP","Daimler AG","DE0007100000","0,60","2018-01-30"
"Bridgewater Associates, LP","SAP SE","DE0007164600","0,53","2018-01-30"
"Bridgewater Associates, LP","Siemens Aktiengesellschaft","DE0007236101","0,63","2018-01-30"
"Oxford Asset Management","PVA TePla AG","DE0007461006","0,72","2018-01-30"
"Marshall Wace LLP","Deutsche EuroShop AG","DE0007480204","0,47","2018-01-30"
"GLG Partners LP","ElringKlinger AG","DE0007856023","1,79","2018-01-30"
"Bridgewater Associates, LP","Allianz SE","DE0008404005","0,65","2018-01-30"
"Bridgewater Associates, LP","Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München","DE0008430026","0,64","2018-01-30"
"Bridgewater Associates, LP","BASF SE","DE000BASF111","0,64","2018-01-30"
"Bridgewater Associates, LP","Bayer Aktiengesellschaft","DE000BAY0017","0,64","2018-01-30"
"Bridgewater Associates, LP","E.ON SE","DE000ENAG999","0,64","2018-01-30"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,20","2018-01-30"
"PDT Partners, LLC","Cleveland-Cliffs, Inc.","US1858991011","0,71","2018-01-30"
"Bridgewater Associates, LP","DEUTSCHE BANK AKTIENGESELLSCHAFT","DE0005140008","0,51","2018-01-29"
"BlueMountain Capital Management, LLC","Evotec AG","DE0005664809","0,86","2018-01-29"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","0,76","2018-01-29"
"EXANE ASSET MANAGEMENT","Salzgitter Aktiengesellschaft","DE0006202005","0,51","2018-01-29"
"Bridgewater Associates, LP","Daimler AG","DE0007100000","0,53","2018-01-29"
"SFM UK Management LLP","Koenig & Bauer AG","DE0007193500","1,06","2018-01-29"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","0,90","2018-01-29"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,89","2018-01-29"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","2,02","2018-01-29"
"Bridgewater Associates, LP","adidas AG","DE000A1EWWW0","0,50","2018-01-29"
"ENA Investment Capital LLP","HUGO BOSS AG","DE000A1PHFF7","1,66","2018-01-29"
"Astellon Capital Partners","Voltabox AG","DE000A2E4LE9","0,52","2018-01-29"
"Citadel Europe LLP","METRO AG","DE000BFB0019","0,69","2018-01-29"
"BlackRock Institutional Trust Company, National Association","K+S Aktiengesellschaft","DE000KSAG888","0,79","2018-01-29"
"WorldQuant, LLC","K+S Aktiengesellschaft","DE000KSAG888","1,08","2018-01-29"
"AQR Capital Management, LLC","Zalando SE","DE000ZAL1111","1,08","2018-01-29"
"AQR Capital Management, LLC","JOHNSON CONTROLS INTERNATIONAL PLC","IE00BY7QL619","0,59","2018-01-29"
"Marshall Wace LLP","S&T AG","AT0000A0E9W5","1,00","2018-01-26"
"AKO Capital LLP","Dürr Aktiengesellschaft","DE0005565204","0,90","2018-01-26"
"AKO Capital LLP","KRONES Aktiengesellschaft","DE0005565204","0,46","2018-01-26"
"AHL Partners LLP","Evotec AG","DE0005664809","1,58","2018-01-26"
"Marshall Wace LLP","Evotec AG","DE0005664809","0,80","2018-01-26"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,28","2018-01-26"
"BlackRock Institutional Trust Company, National Association","Bilfinger SE","DE0005909006","0,89","2018-01-26"
"Marshall Wace LLP","Bilfinger SE","DE0005909006","1,33","2018-01-26"
"Marshall Wace LLP","GEA Group Aktiengesellschaft","DE0006602006","0,81","2018-01-26"
"AHL Partners LLP","RWE Aktiengesellschaft","DE0007037129","0,50","2018-01-26"
"Bridgewater Associates, LP","Siemens Aktiengesellschaft","DE0007236101","0,51","2018-01-26"
"Bridgewater Associates, LP","Allianz SE","DE0008404005","0,52","2018-01-26"
"Bridgewater Associates, LP","Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München","DE0008430026","0,51","2018-01-26"
"AKO Capital LLP","Nordex SE","DE000A0D6554","0,21","2018-01-26"
"BNP PARIBAS SA","alstria office REIT-AG","DE000A0LD2U1","1,75","2018-01-26"
"Citadel Advisors LLC","freenet AG","DE000A0Z2ZZ5","0,51","2018-01-26"
"Bridgewater Associates, LP","BASF SE","DE000BASF111","0,51","2018-01-26"
"Bridgewater Associates, LP","Bayer Aktiengesellschaft","DE000BAY0017","0,51","2018-01-26"
"Bridgewater Associates, LP","E.ON SE","DE000ENAG999","0,51","2018-01-26"
"BlackRock Institutional Trust Company, National Association","K+S Aktiengesellschaft","DE000KSAG888","0,80","2018-01-26"
"Marshall Wace LLP","K+S Aktiengesellschaft","DE000KSAG888","2,11","2018-01-26"
"CQS (UK) LLP","SAF-HOLLAND GmbH","LU0307018795","1,19","2018-01-26"
"PDT Partners, LLC","Cleveland-Cliffs, Inc.","US1858991011","0,66","2018-01-26"
"HBK Investments L.P.","Envision Healthcare Corporation","US29414D1000","0,47","2018-01-26"
"PDT Partners, LLC","HERTZ GLOBAL HOLDINGS, INC.","US42806J1060","1,74","2018-01-26"
"PDT Partners, LLC","IMPINJ, INC.","US4532041096","1,54","2018-01-26"
"PDT Partners, LLC","Restoration Hardware Holdings, Inc","US74967X1037","1,03","2018-01-26"
"WorldQuant, LLC","ADVA Optical Networking SE","DE0005103006","0,45","2018-01-25"
"WorldQuant, LLC","Evotec AG","DE0005664809","1,36","2018-01-25"
"Marshall Wace LLP","Salzgitter Aktiengesellschaft","DE0006202005","1,08","2018-01-25"
"Marshall Wace LLP","GEA Group Aktiengesellschaft","DE0006602006","0,78","2018-01-25"
"Marshall Wace LLP","MorphoSys AG","DE0006632003","1,49","2018-01-25"
"AEW Global Advisors (Europe) Limited","Deutsche EuroShop AG","DE0007480204","0,19","2018-01-25"
"GLG Partners LP","ElringKlinger AG","DE0007856023","1,84","2018-01-25"
"Marshall Wace LLP","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","0,89","2018-01-25"
"OCH-ZIFF MANAGEMENT EUROPE LIMITED","AURELIUS Equity Opportunities SE & Co. KGaA","DE000A0JK2A8","1,71","2018-01-25"
"Polygon Global Partners LLP","alstria office REIT-AG","DE000A0LD2U1","1,35","2018-01-25"
"AKO Capital LLP","Gerresheimer AG","DE000A0LD6E6","1,00","2018-01-25"
"Marshall Wace LLP","AIXTRON SE","DE000A0WMPJ6","1,82","2018-01-25"
"WorldQuant, LLC","RIB Software SE","DE000A0Z2XN6","0,57","2018-01-25"
"ENA Investment Capital LLP","HUGO BOSS AG","DE000A1PHFF7","1,73","2018-01-25"
"BlackRock Institutional Trust Company, National Association","K+S Aktiengesellschaft","DE000KSAG888","0,79","2018-01-25"
"BNP PARIBAS SA","SAF-HOLLAND SA","LU0307018795","1,83","2018-01-25"
"CQS (UK) LLP","SAF-HOLLAND GmbH","LU0307018795","1,03","2018-01-25"
"PDT Partners, LLC","AnaptysBio, Inc.","US0327241065","0,68","2018-01-25"
"HBK Investments L.P.","Frontier Communications Corporation","US35906A3068","1,01","2018-01-25"
"PDT Partners, LLC","Health Insurance Innovations, Inc.","US42225K1060","1,56","2018-01-25"
"PDT Partners, LLC","IMPINJ, Inc.","US4532041096","1,64","2018-01-25"
"PDT Partners, LLC","Restoration Hardware Holdings, Inc","US74967X1037","0,98","2018-01-25"
"Davidson Kempner Asia Limited","Sigma Healthcare Limited","AU000000SIG5","0,53","2018-01-24"
"Marshall Wace LLP","ADVA Optical Networking SE","DE0005103006","1,54","2018-01-24"
"WorldQuant, LLC","LANXESS Aktiengesellschaft","DE0005470405","0,59","2018-01-24"
"Marshall Wace LLP","Evotec AG","DE0005664809","0,73","2018-01-24"
